#1	
double	presence(8761,2)
2419200	1
2422800	1
2426400	1
2430000	1
2433600	1
2437200	1
2440800	0.931
2444400	0.8105
2448000	0.7415
2451600	0.586
2455200	0.6035
2458800	0.586
2462400	0.6725
2466000	0.7585
2469600	0.6725
2473200	0.6895
2476800	0.6725
2480400	0.724
2484000	0.7415
2487600	0.845
2491200	0.931
2494800	0.931
2498400	0.931
2502000	1
2505600	1
2509200	1
2512800	1
2516400	1
2520000	1
2523600	1
2527200	0.931
2530800	0.8105
2534400	0.7415
2538000	0.586
2541600	0.6035
2545200	0.586
2548800	0.6725
2552400	0.7585
2556000	0.6725
2559600	0.6895
2563200	0.6725
2566800	0.724
2570400	0.7415
2574000	0.845
2577600	0.931
2581200	0.931
2584800	0.931
2588400	1
2592000	1
2595600	1
2599200	1
2602800	1
2606400	1
2610000	1
2613600	0.931
2617200	0.8105
2620800	0.7415
2624400	0.586
2628000	0.6035
2631600	0.586
2635200	0.6725
2638800	0.7585
2642400	0.6725
2646000	0.6895
2649600	0.6725
2653200	0.724
2656800	0.7415
2660400	0.845
2664000	0.931
2667600	0.931
2671200	0.931
2674800	1
2678400	1
2682000	1
2685600	1
2689200	1
2692800	1
2696400	1
2700000	0.931
2703600	0.8105
2707200	0.7415
2710800	0.586
2714400	0.6035
2718000	0.586
2721600	0.6725
2725200	0.7585
2728800	0.6725
2732400	0.6895
2736000	0.6725
2739600	0.724
2743200	0.7415
2746800	0.845
2750400	0.931
2754000	0.931
2757600	0.931
2761200	1
2764800	1
2768400	1
2772000	1
2775600	1
2779200	1
2782800	1
2786400	0.931
2790000	0.8105
2793600	0.7415
2797200	0.586
2800800	0.6035
2804400	0.586
2808000	0.6725
2811600	0.7585
2815200	0.6725
2818800	0.6895
2822400	0.6725
2826000	0.724
2829600	0.7415
2833200	0.845
2836800	0.931
2840400	0.931
2844000	0.931
2847600	1
2851200	0.983
2854800	0.983
2858400	0.983
2862000	1
2865600	1
2869200	0.983
2872800	0.914
2876400	0.862
2880000	0.8275
2883600	0.776
2887200	0.724
2890800	0.655
2894400	0.793
2898000	0.8275
2901600	0.776
2905200	0.7415
2908800	0.724
2912400	0.7415
2916000	0.7415
2919600	0.7585
2923200	0.845
2926800	0.8795
2930400	0.8965
2934000	0.983
2937600	0.983
2941200	0.983
2944800	0.983
2948400	1
2952000	1
2955600	0.983
2959200	0.914
2962800	0.862
2966400	0.8275
2970000	0.776
2973600	0.724
2977200	0.655
2980800	0.793
2984400	0.8275
2988000	0.776
2991600	0.7415
2995200	0.724
2998800	0.7415
3002400	0.7415
3006000	0.7585
3009600	0.845
3013200	0.8795
3016800	0.8965
3020400	0.983
3024000	1
3027600	1
3031200	1
3034800	1
3038400	1
3042000	1
3045600	0.931
3049200	0.8105
3052800	0.7415
3056400	0.586
3060000	0.6035
3063600	0.586
3067200	0.6725
3070800	0.7585
3074400	0.6725
3078000	0.6895
3081600	0.6725
3085200	0.724
3088800	0.7415
3092400	0.845
3096000	0.931
3099600	0.931
3103200	0.931
3106800	1
3110400	1
3114000	1
3117600	1
3121200	1
3124800	1
3128400	1
3132000	0.931
3135600	0.8105
3139200	0.7415
3142800	0.586
3146400	0.6035
3150000	0.586
3153600	0.6725
3157200	0.7585
3160800	0.6725
3164400	0.6895
3168000	0.6725
3171600	0.724
3175200	0.7415
3178800	0.845
3182400	0.931
3186000	0.931
3189600	0.931
3193200	1
3196800	1
3200400	1
3204000	1
3207600	1
3211200	1
3214800	1
3218400	0.931
3222000	0.8105
3225600	0.7415
3229200	0.586
3232800	0.6035
3236400	0.586
3240000	0.6725
3243600	0.7585
3247200	0.6725
3250800	0.6895
3254400	0.6725
3258000	0.724
3261600	0.7415
3265200	0.845
3268800	0.931
3272400	0.931
3276000	0.931
3279600	1
3283200	1
3286800	1
3290400	1
3294000	1
3297600	1
3301200	1
3304800	0.931
3308400	0.8105
3312000	0.7415
3315600	0.586
3319200	0.6035
3322800	0.586
3326400	0.6725
3330000	0.7585
3333600	0.6725
3337200	0.6895
3340800	0.6725
3344400	0.724
3348000	0.7415
3351600	0.845
3355200	0.931
3358800	0.931
3362400	0.931
3366000	1
3369600	1
3373200	1
3376800	1
3380400	1
3384000	1
3387600	1
3391200	0.931
3394800	0.8105
3398400	0.7415
3402000	0.586
3405600	0.6035
3409200	0.586
3412800	0.6725
3416400	0.7585
3420000	0.6725
3423600	0.6895
3427200	0.6725
3430800	0.724
3434400	0.7415
3438000	0.845
3441600	0.931
3445200	0.931
3448800	0.931
3452400	1
3456000	0.983
3459600	0.983
3463200	0.983
3466800	1
3470400	1
3474000	0.983
3477600	0.914
3481200	0.862
3484800	0.8275
3488400	0.776
3492000	0.724
3495600	0.655
3499200	0.793
3502800	0.8275
3506400	0.776
3510000	0.7415
3513600	0.724
3517200	0.7415
3520800	0.7415
3524400	0.7585
3528000	0.845
3531600	0.8795
3535200	0.8965
3538800	0.983
3542400	0.983
3546000	0.983
3549600	0.983
3553200	1
3556800	1
3560400	0.983
3564000	0.914
3567600	0.862
3571200	0.8275
3574800	0.776
3578400	0.724
3582000	0.655
3585600	0.793
3589200	0.8275
3592800	0.776
3596400	0.7415
3600000	0.724
3603600	0.7415
3607200	0.7415
3610800	0.7585
3614400	0.845
3618000	0.8795
3621600	0.8965
3625200	0.983
3628800	1
3632400	1
3636000	1
3639600	1
3643200	1
3646800	1
3650400	0.931
3654000	0.8105
3657600	0.7415
3661200	0.586
3664800	0.6035
3668400	0.586
3672000	0.6725
3675600	0.7585
3679200	0.6725
3682800	0.6895
