#1	
double	presence(8760,2)
2836800	0.862
2840400	0.862
2844000	1
2847600	1
2851200	1
2854800	1
2858400	1
2862000	1
2865600	1
2869200	1
2872800	0.862
2876400	0.621
2880000	0.483
2883600	0.172
2887200	0.207
2890800	0.172
2894400	0.345
2898000	0.517
2901600	0.345
2905200	0.379
2908800	0.345
2912400	0.448
2916000	0.483
2919600	0.69
2923200	0.862
2926800	0.862
2930400	1
2934000	1
2937600	1
2941200	1
2944800	1
2948400	1
2952000	1
2955600	1
2959200	0.862
2962800	0.621
2966400	0.483
2970000	0.172
2973600	0.207
2977200	0.172
2980800	0.345
2984400	0.517
2988000	0.345
2991600	0.379
2995200	0.345
2998800	0.448
3002400	0.483
3006000	0.69
3009600	0.862
3013200	0.862
3016800	1
3020400	1
3024000	0.966
3027600	0.966
3031200	0.966
3034800	1
3038400	1
3042000	0.966
3045600	0.822
3049200	0.724
3052800	0.655
3056400	0.552
3060000	0.448
3063600	0.31
3067200	0.586
3070800	0.655
3074400	0.552
3078000	0.483
3081600	0.448
3085200	0.483
3088800	0.517
3092400	0.69
3096000	0.759
3099600	0.793
3103200	0.793
3106800	0.966
3110400	0.966
3114000	0.966
3117600	0.966
3121200	1
3124800	1
3128400	0.966
3132000	0.822
3135600	0.724
3139200	0.655
3142800	0.552
3146400	0.448
3150000	0.31
3153600	0.586
3157200	0.655
3160800	0.552
3164400	0.483
3168000	0.448
3171600	0.483
3175200	0.517
3178800	0.69
3182400	0.759
3186000	0.793
3189600	0.793
3193200	0.966
3196800	1
3200400	1
3204000	1
3207600	1
3211200	1
3214800	1
3218400	0.862
3222000	0.621
3225600	0.483
3229200	0.172
3232800	0.207
3236400	0.172
3240000	0.345
3243600	0.517
3247200	0.345
3250800	0.379
3254400	0.345
3258000	0.448
3261600	0.483
3265200	0.69
3268800	0.862
3272400	0.862
3276000	1
3279600	1
3283200	1
3286800	1
3290400	1
3294000	1
3297600	1
3301200	1
3304800	0.862
3308400	0.621
3312000	0.483
3315600	0.172
3319200	0.207
3322800	0.172
3326400	0.345
3330000	0.517
3333600	0.345
3337200	0.379
3340800	0.345
3344400	0.448
3348000	0.483
3351600	0.69
3355200	0.862
3358800	0.862
3362400	1
3366000	1
3369600	1
3373200	1
3376800	1
3380400	1
3384000	1
3387600	1
3391200	0.862
3394800	0.621
3398400	0.483
3402000	0.172
3405600	0.207
3409200	0.172
3412800	0.345
3416400	0.517
