#1	
double	Pel(1441,2)
2145600	171.9
2149200	168.1
2152800	156.0
2156400	135.7
2160000	100.3
2163600	89.6
2167200	66.65
2170800	54.475
2174400	50.6
2178000	49.975
2181600	48.775
2185200	51.325
2188800	69.5
2192400	112.45
2196000	160.25
2199600	186.6
2203200	205.725
2206800	209.45
2210400	175.375
2214000	144.075
2217600	124.375
2221200	108.375
2224800	109.55
2228400	126.65
2232000	152.025
2235600	159.425
2239200	150.5
2242800	140.2
2246400	108.075
2250000	89.6
2253600	66.65
2257200	54.475
2260800	50.6
2264400	49.975
2268000	48.775
2271600	51.325
2275200	69.5
2278800	112.45
2282400	160.25
2286000	186.6
2289600	205.725
2293200	209.45
2296800	175.375
2300400	144.075
2304000	124.375
2307600	108.375
2311200	109.55
2314800	126.65
2318400	152.025
2322000	159.425
2325600	150.5
2329200	140.2
2332800	108.075
2336400	89.6
2340000	66.65
2343600	54.475
2347200	50.6
2350800	49.975
2354400	48.775
2358000	51.325
2361600	69.5
2365200	112.45
2368800	160.25
2372400	186.6
2376000	205.725
2379600	209.45
2383200	175.375
2386800	144.075
2390400	124.375
2394000	108.375
2397600	109.55
2401200	126.65
2404800	152.025
2408400	159.425
2412000	150.5
2415600	140.2
2419200	108.075
2422800	89.6
2426400	66.65
2430000	54.475
2433600	50.6
2437200	49.975
2440800	48.775
2444400	51.325
2448000	69.5
2451600	112.45
2455200	160.25
2458800	186.6
2462400	205.725
2466000	209.45
2469600	175.375
2473200	144.075
2476800	124.375
2480400	108.375
2484000	109.55
2487600	126.65
2491200	152.025
2494800	159.425
2498400	150.5
2502000	140.2
2505600	108.075
2509200	89.6
2512800	66.65
2516400	54.475
2520000	50.6
2523600	49.975
2527200	48.775
2530800	51.325
2534400	69.5
2538000	112.45
2541600	160.25
2545200	186.6
2548800	205.725
2552400	209.45
2556000	175.375
2559600	144.075
2563200	124.375
2566800	108.375
2570400	109.55
2574000	126.65
2577600	152.025
2581200	159.425
2584800	150.5
2588400	140.2
2592000	108.075
2595600	66.6
2599200	49.2
2602800	44.3
2606400	43.1
2610000	44.1
2613600	52.6
2617200	92.9
2620800	129.7
2624400	137.5
2628000	136.0
2631600	132.1
2635200	133.3
2638800	149.6
2642400	145.7
2646000	126.8
2649600	113.4
2653200	106.2
2656800	116.3
2660400	144.9
2664000	171.9
2667600	168.1
2671200	156.0
2674800	135.7
2678400	100.3
2682000	66.6
2685600	49.2
2689200	44.3
2692800	43.1
2696400	44.1
2700000	52.6
2703600	92.9
2707200	129.7
2710800	137.5
2714400	136.0
2718000	132.1
2721600	133.3
2725200	149.6
2728800	145.7
2732400	126.8
2736000	113.4
2739600	106.2
2743200	116.3
2746800	144.9
2750400	171.9
2754000	168.1
2757600	156.0
2761200	135.7
2764800	100.3
2768400	66.6
2772000	49.2
2775600	44.3
2779200	43.1
2782800	44.1
2786400	52.6
2790000	92.9
2793600	129.7
2797200	137.5
2800800	136.0
2804400	132.1
2808000	133.3
2811600	149.6
2815200	145.7
2818800	126.8
2822400	113.4
2826000	106.2
2829600	116.3
2833200	144.9
2836800	171.9
2840400	168.1
2844000	156.0
2847600	135.7
2851200	100.3
2854800	66.6
2858400	49.2
2862000	44.3
2865600	43.1
2869200	44.1
2872800	52.6
2876400	92.9
2880000	129.7
2883600	137.5
2887200	136.0
2890800	132.1
2894400	133.3
2898000	149.6
2901600	145.7
2905200	126.8
2908800	113.4
2912400	106.2
2916000	116.3
2919600	144.9
2923200	171.9
2926800	168.1
2930400	156.0
2934000	135.7
2937600	100.3
2941200	66.6
2944800	49.2
2948400	44.3
2952000	43.1
2955600	44.1
2959200	52.6
2962800	92.9
2966400	129.7
2970000	137.5
2973600	136.0
2977200	132.1
2980800	133.3
2984400	149.6
2988000	145.7
2991600	126.8
2995200	113.4
2998800	106.2
3002400	116.3
3006000	144.9
3009600	171.9
3013200	168.1
3016800	156.0
3020400	135.7
3024000	100.3
3027600	84.275
3031200	62.2
3034800	48.875
3038400	44.275
3042000	43.175
3045600	43.275
3049200	45.725
3052800	65.55
3056400	111.225
3060000	159.525
3063600	185.075
3067200	205.175
3070800	207.8
3074400	168.625
3078000	136.25
3081600	121.025
3085200	107.3
3088800	111.75
3092400	137.55
3096000	160.925
3099600	154.75
3103200	143.925
3106800	127.625
3110400	93.975
3114000	84.3
3117600	62.2
3121200	48.9
3124800	44.3
3128400	43.2
3132000	43.3
3135600	45.7
3139200	65.6
3142800	111.2
3146400	159.5
3150000	185.1
3153600	205.2
3157200	207.8
3160800	168.6
3164400	136.3
3168000	121.0
3171600	107.3
3175200	111.8
3178800	137.6
