#1	
double	Pel(35040,2)
578700	0.13787
579600	0.14548
580500	0.15515
581400	0.16629
582300	0.17848
583200	0.19115
584100	0.20341
585000	0.21472
585900	0.22438
586800	0.23168
587700	0.23605
588600	0.23693
589500	0.23376
590400	0.22666
591300	0.21660
592200	0.20558
593100	0.19515
594000	0.18678
594900	0.17984
595800	0.17359
596700	0.16705
597600	0.15952
598500	0.15114
599400	0.14212
600300	0.13258
601200	0.12291
602100	0.11313
603000	0.10351
603900	0.09397
604800	0.08888
605700	0.08559
606600	0.08274
607500	0.07950
608400	0.07473
609300	0.06903
610200	0.06342
611100	0.05849
612000	0.05512
612900	0.05312
613800	0.05196
614700	0.05123
615600	0.05059
616500	0.05011
617400	0.04959
618300	0.04911
619200	0.04871
620100	0.04835
621000	0.04811
621900	0.04811
622800	0.04835
623700	0.04911
624600	0.05059
625500	0.05324
626400	0.05725
627300	0.06266
628200	0.06943
629100	0.07733
630000	0.08651
630900	0.09682
631800	0.10812
632700	0.12015
633600	0.13282
634500	0.14536
635400	0.15679
636300	0.16609
637200	0.17270
638100	0.17715
639000	0.17992
639900	0.18176
640800	0.18329
641700	0.18477
642600	0.18629
643500	0.18806
644400	0.19018
645300	0.19271
646200	0.19584
647100	0.19960
648000	0.20385
648900	0.20810
649800	0.21139
650700	0.21315
651600	0.21263
652500	0.21039
653400	0.20686
654300	0.20273
655200	0.19848
656100	0.19447
657000	0.19054
657900	0.18702
658800	0.18393
659700	0.18124
660600	0.17916
661500	0.17764
662400	0.17687
663300	0.17792
664200	0.18193
665100	0.19018
666000	0.20325
666900	0.21917
667800	0.23524
668700	0.24867
669600	0.25757
670500	0.26250
671400	0.26503
672300	0.26635
673200	0.26764
674100	0.26736
675000	0.26411
675900	0.25597
676800	0.24218
677700	0.22470
678600	0.20638
679500	0.19018
680400	0.17816
681300	0.16986
682200	0.16445
683100	0.16092
684000	0.15831
684900	0.15579
685800	0.15266
686700	0.14837
687600	0.14236
688500	0.13482
689400	0.12652
690300	0.11814
691200	0.10996
692100	0.10191
693000	0.09421
693900	0.08683
694800	0.07966
695700	0.07312
696600	0.06735
697500	0.06270
698400	0.05945
699300	0.05717
700200	0.05552
701100	0.05440
702000	0.05328
702900	0.05216
703800	0.05115
704700	0.05023
705600	0.04939
706500	0.04875
707400	0.04839
708300	0.04815
709200	0.04815
710100	0.04823
711000	0.04863
711900	0.04915
712800	0.04991
713700	0.05075
714600	0.05192
715500	0.05328
716400	0.05528
717300	0.05853
718200	0.06422
719100	0.07328
720000	0.08619
720900	0.10215
721800	0.11959
722700	0.13694
723600	0.15314
724500	0.16797
725400	0.18140
726300	0.19347
727200	0.20425
728100	0.21420
729000	0.22362
729900	0.23316
730800	0.24286
731700	0.25200
732600	0.25954
733500	0.26455
734400	0.26607
735300	0.26407
736200	0.25870
737100	0.24988
738000	0.23817
738900	0.22450
739800	0.21019
740700	0.19664
741600	0.18465
742500	0.17451
743400	0.16597
744300	0.15895
745200	0.15326
746100	0.14837
747000	0.14420
747900	0.14011
748800	0.13606
749700	0.13306
750600	0.13217
751500	0.13490
752400	0.14184
753300	0.15190
754200	0.16332
755100	0.17463
756000	0.18441
756900	0.19287
757800	0.20065
758700	0.20802
759600	0.21548
760500	0.22161
761400	0.22502
762300	0.22378
763200	0.21724
764100	0.20694
765000	0.19548
765900	0.18505
766800	0.17764
767700	0.17234
768600	0.16797
769500	0.16304
770400	0.15679
771300	0.14897
772200	0.14019
773100	0.13065
774000	0.12087
774900	0.11105
775800	0.10139
776700	0.09196
777600	0.08499
778500	0.07645
779400	0.06903
780300	0.06274
781200	0.05809
782100	0.05480
783000	0.05272
783900	0.05127
784800	0.05043
785700	0.04979
786600	0.04951
787500	0.04919
788400	0.04879
789300	0.04851
790200	0.04819
791100	0.04819
792000	0.04827
792900	0.04879
793800	0.04943
794700	0.05027
795600	0.05143
796500	0.05420
797400	0.05997
798300	0.07016
799200	0.08547
800100	0.10407
801000	0.12319
801900	0.14019
802800	0.15286
803700	0.16156
804600	0.16685
805500	0.16946
806400	0.17022
807300	0.16946
808200	0.16733
809100	0.16433
810000	0.16056
810900	0.15663
811800	0.15278
812700	0.14961
813600	0.14749
814500	0.14609
815400	0.14548
816300	0.14548
817200	0.14597
818100	0.14709
819000	0.14925
819900	0.15278
820800	0.15763
821700	0.16292
822600	0.16721
823500	0.16946
824400	0.16870
825300	0.16557
826200	0.16092
827100	0.15587
828000	0.15110
828900	0.14685
829800	0.14296
830700	0.13919
831600	0.13566
832500	0.13266
833400	0.13013
834300	0.12873
835200	0.12849
836100	0.12973
837000	0.13274
837900	0.13819
838800	0.14580
839700	0.15555
840600	0.16669
841500	0.17892
842400	0.19159
843300	0.20389
844200	0.21520
845100	0.22490
846000	0.23220
846900	0.23657
847800	0.23749
848700	0.23432
849600	0.22719
850500	0.21712
851400	0.20606
852300	0.19560
853200	0.18722
854100	0.18028
855000	0.17399
855900	0.16745
856800	0.15992
857700	0.15150
858600	0.14244
859500	0.13290
860400	0.12319
861300	0.11337
862200	0.10375
863100	0.09417
864000	0.08503
864900	0.07649
865800	0.06907
866700	0.06278
867600	0.05813
868500	0.05484
869400	0.05272
870300	0.05131
871200	0.05047
872100	0.04979
873000	0.04955
873900	0.04919
874800	0.04879
875700	0.04855
876600	0.04819
877500	0.04819
878400	0.04831
879300	0.04879
880200	0.04947
881100	0.05031
882000	0.05147
882900	0.05424
883800	0.06001
884700	0.07020
885600	0.08555
886500	0.10415
887400	0.12327
888300	0.14027
889200	0.15294
890100	0.16164
891000	0.16693
891900	0.16954
892800	0.17030
893700	0.16954
894600	0.16745
895500	0.16441
896400	0.16064
897300	0.15671
898200	0.15286
899100	0.14969
900000	0.14757
900900	0.14617
901800	0.14556
902700	0.14556
903600	0.14605
904500	0.14717
905400	0.14933
906300	0.15286
907200	0.15775
908100	0.16300
909000	0.16729
909900	0.16954
910800	0.16882
911700	0.16569
912600	0.16100
913500	0.15599
914400	0.15118
915300	0.14693
916200	0.14304
917100	0.13927
918000	0.13574
918900	0.13274
919800	0.13021
920700	0.12881
921600	0.12857
922500	0.12981
923400	0.13282
924300	0.13827
925200	0.14592
926100	0.15563
927000	0.16677
927900	0.17900
928800	0.19171
929700	0.20401
930600	0.21536
931500	0.22506
932400	0.23236
933300	0.23673
934200	0.23765
935100	0.23444
936000	0.22731
936900	0.21724
937800	0.20618
938700	0.19572
939600	0.18730
940500	0.18036
941400	0.17407
942300	0.16753
943200	0.16000
944100	0.15158
945000	0.14252
945900	0.13298
946800	0.12327
947700	0.11345
948600	0.10379
949500	0.09425
950400	0.08507
951300	0.07653
952200	0.06911
953100	0.06282
954000	0.05813
954900	0.05488
955800	0.05276
956700	0.05135
957600	0.05047
958500	0.04983
959400	0.04959
960300	0.04923
961200	0.04883
962100	0.04859
963000	0.04823
963900	0.04823
964800	0.04831
965700	0.04883
966600	0.04947
967500	0.05035
968400	0.05151
969300	0.05428
970200	0.06005
971100	0.07024
972000	0.08559
972900	0.10419
973800	0.12331
974700	0.14035
975600	0.15302
976500	0.16172
977400	0.16701
978300	0.16966
979200	0.17038
980100	0.16966
981000	0.16753
981900	0.16449
982800	0.16072
983700	0.15679
984600	0.15294
985500	0.14977
986400	0.14765
987300	0.14625
988200	0.14564
989100	0.14564
990000	0.14613
990900	0.14725
991800	0.14941
992700	0.15294
993600	0.15779
994500	0.16308
995400	0.16737
996300	0.16966
997200	0.16890
998100	0.16577
999000	0.16108
999900	0.15603
1000800	0.15126
1001700	0.14697
1002600	0.14312
1003500	0.13935
1004400	0.13582
1005300	0.13278
1006200	0.13029
1007100	0.12885
1008000	0.12861
1008900	0.12989
1009800	0.13290
1010700	0.13831
1011600	0.14597
1012500	0.15571
1013400	0.16685
1014300	0.17912
1015200	0.19179
1016100	0.20413
1017000	0.21544
1017900	0.22514
1018800	0.23248
1019700	0.23685
1020600	0.23773
1021500	0.23456
1022400	0.22743
1023300	0.21736
1024200	0.20630
1025100	0.19580
1026000	0.18742
1026900	0.18044
1027800	0.17419
1028700	0.16761
1029600	0.16008
1030500	0.15166
1031400	0.14260
1032300	0.13306
1033200	0.12331
1034100	0.11349
1035000	0.10383
1035900	0.09429
1036800	0.08511
1037700	0.07653
