#1	
double	Pel(35040,2)
950400	85.07
951300	76.53
952200	69.11
953100	62.82
954000	58.13
954900	54.88
955800	52.76
956700	51.35
957600	50.47
958500	49.83
959400	49.59
960300	49.23
961200	48.83
962100	48.59
963000	48.23
963900	48.23
964800	48.31
965700	48.83
966600	49.47
967500	50.35
968400	51.51
969300	54.28
970200	60.05
971100	70.24
972000	85.59
972900	104.19
973800	123.31
974700	140.35
975600	153.02
976500	161.72
977400	167.01
978300	169.66
979200	170.38
980100	169.66
981000	167.53
981900	164.49
982800	160.72
983700	156.79
984600	152.94
985500	149.77
986400	147.65
987300	146.25
988200	145.64
989100	145.64
990000	146.13
990900	147.25
991800	149.41
992700	152.94
993600	157.79
994500	163.08
995400	167.37
996300	169.66
997200	168.9
998100	165.77
999000	161.08
999900	156.03
1000800	151.26
1001700	146.97
1002600	143.12
1003500	139.35
1004400	135.82
1005300	132.78
1006200	130.29
1007100	128.85
1008000	128.61
1008900	129.89
1009800	132.9
1010700	138.31
1011600	145.97
1012500	155.71
1013400	166.85
1014300	179.12
1015200	191.79
1016100	204.13
1017000	215.44
1017900	225.14
1018800	232.48
1019700	236.85
1020600	237.73
1021500	234.56
1022400	227.43
1023300	217.36
1024200	206.3
1025100	195.8
1026000	187.42
1026900	180.44
1027800	174.19
1028700	167.61
1029600	160.08
1030500	151.66
1031400	142.6
1032300	133.06
1033200	123.31
1034100	113.49
1035000	103.83
1035900	94.29
1036800	85.11
1037700	76.53
1038600	69.15
1039500	62.86
1040400	58.17
1041300	54.88
1042200	52.76
1043100	51.35
1044000	50.51
1044900	49.87
1045800	49.59
1046700	49.23
1047600	48.83
1048500	48.59
1049400	48.23
1050300	48.23
1051200	48.35
1052100	48.83
1053000	49.51
1053900	50.35
1054800	51.51
1055700	54.28
1056600	60.09
1057500	70.24
1058400	85.59
1059300	104.23
1060200	123.39
1061100	140.39
1062000	153.1
1062900	161.8
1063800	167.09
1064700	169.7
1065600	170.46
1066500	169.7
1067400	167.57
1068300	164.57
1069200	160.8
1070100	156.87
1071000	152.98
1071900	149.81
1072800	147.69
1073700	146.29
1074600	145.68
1075500	145.68
1076400	146.21
1077300	147.29
1078200	149.45
1079100	152.98
1080000	157.87
1080900	163.16
1081800	167.45
1082700	169.7
1083600	168.94
1084500	165.81
1085400	161.16
1086300	156.11
1087200	151.34
1088100	147.05
1089000	143.16
1089900	139.39
1090800	135.86
1091700	132.86
1092600	130.33
1093500	128.93
1094400	128.65
1095300	129.93
1096200	132.94
1097100	138.39
1098000	146.05
1098900	155.75
1099800	166.93
1100700	179.16
1101600	191.87
1102500	204.21
1103400	215.52
